transcript_id,employee_id,name,designation,education,experience,interview_date,interview_transcript,skills_mentioned,overall_score,feedback,hiring_decision,interview_summary
TID0139,EID0139,Joseph Collins,Business Analyst,MBA with Analytics,0 years,2025-01-22,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Joseph Collins, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: What is a JOIN operation in SQL?
Candidate: umm... JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Why do you want this job?
Candidate: you know This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is SQL?
Candidate: like It’s a language used for querying, updating, and managing data stored in databases.
","Python, SQL, Excel, NumPy, R, Statistics, Tableau",4.33,Excellent candidate. Recommended.,Hire,"Candidate Joseph Collins (EID0139) applied for the role of Business Analyst with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 4.33/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics, Tableau. All mentioned skills supported."
TID0140,EID0140,Andrew Wyatt,Senior Data Analyst,M.Sc in Data Science,0 years,2025-04-28,"Interviewer: Tell me about yourself.
Candidate: kinda Hi, I'm Andrew Wyatt. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is SQL?
Candidate: SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: How do you clean data?
Candidate: I'm not sure about that.

Interviewer: Why do you want this job?
Candidate: kinda I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: What is a JOIN operation in SQL?
Candidate: I think JOIN helps bring together different tables so you can analyze related data easily.
","Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau",3.67,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Andrew Wyatt (EID0140) applied for the role of Senior Data Analyst with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 3.67/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0141,EID0141,Miguel Monroe,Data Analyst,MBA with Analytics,0 years,2025-06-19,"Interviewer: Tell me about yourself.
Candidate: sort of My name is Miguel Monroe and I hold a degree in MBA with Analytics. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is your experience with Power BI?
Candidate: I'm not sure about that.

Interviewer: What is a JOIN operation in SQL?
Candidate: like JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is SQL?
Candidate: you know SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... I had to resolve a conflict in the team by mediating and redistributing responsibilities.
","Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau",3.83,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Miguel Monroe (EID0141) applied for the role of Data Analyst with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 3.83/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau. Power BI listed but not confidently answered"
TID0142,EID0142,Kaitlyn Cruz,Insights Analyst,M.Sc in Data Science,1 years,2025-05-24,"Interviewer: Tell me about yourself.
Candidate: Hi, I'm Kaitlyn Cruz. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is a JOIN operation in SQL?
Candidate: It’s used to merge data — for instance, customer details with their orders.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.
","Excel, NumPy, Statistics, Pandas, Power BI, Tableau",4.67,Excellent candidate. Recommended.,Hire,"Candidate Kaitlyn Cruz (EID0142) applied for the role of Insights Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.67/5. Skills mentioned: Excel, NumPy, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0143,EID0143,Matthew Mccann,Data Engineer,M.Sc in Data Science,3 years,2025-05-23,"Interviewer: Tell me about yourself.
Candidate: you know Hi, I'm Matthew Mccann. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: Describe a difficult situation you handled.
Candidate: I don't remember exactly.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: What is your experience with Power BI?
Candidate: kinda I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: Why do you want this job?
Candidate: you know This role aligns perfectly with my skill set and career goals in analytics.
","SQL, Excel, R, Statistics, Pandas, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Matthew Mccann (EID0143) applied for the role of Data Engineer with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: SQL, Excel, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0144,EID0144,Anita Robinson,Data Analyst,B.Sc in CS,3 years,2025-05-23,"Interviewer: Tell me about yourself.
Candidate: I think My name is Anita Robinson and I hold a degree in B.Sc in CS. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is a JOIN operation in SQL?
Candidate: It’s used to merge data — for instance, customer details with their orders.

Interviewer: How do you clean data?
Candidate: umm... I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: Why do you want this job?
Candidate: I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.
","Python, SQL, NumPy, Statistics, Pandas, Tableau",4.33,Excellent candidate. Recommended.,Hire,"Candidate Anita Robinson (EID0144) applied for the role of Data Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.33/5. Skills mentioned: Python, SQL, NumPy, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0145,EID0145,Brandy Mccarthy,Data Analyst,M.Sc in Data Science,4 years,2025-05-09,"Interviewer: Tell me about yourself.
Candidate: I think Hello, I'm Brandy Mccarthy, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: Describe a difficult situation you handled.
Candidate: like Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: What is your experience with Power BI?
Candidate: umm... I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: Why do you want this job?
Candidate: Sorry, I haven't learned that yet.

Interviewer: What is SQL?
Candidate: you know It’s a language used for querying, updating, and managing data stored in databases.
","Python, Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau",3.67,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Brandy Mccarthy (EID0145) applied for the role of Data Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 3.67/5. Skills mentioned: Python, Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0146,EID0146,Jordan Mccarthy,Business Analyst,M.Sc in Data Science,4 years,2025-03-12,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Jordan Mccarthy, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is SQL?
Candidate: SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.
","Python, Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau",4.67,Excellent candidate. Recommended.,Hire,"Candidate Jordan Mccarthy (EID0146) applied for the role of Business Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.67/5. Skills mentioned: Python, Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0147,EID0147,Clinton Rice,Data Engineer,B.Tech,1 years,2025-05-24,"Interviewer: Tell me about yourself.
Candidate: My name is Clinton Rice and I hold a degree in B.Tech. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: What is a JOIN operation in SQL?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: How do you clean data?
Candidate: I think I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is SQL?
Candidate: uhh... It’s a language used for querying, updating, and managing data stored in databases.
","Python, Excel, R, Statistics, Power BI, Pandas, Tableau",4.33,Excellent candidate. Recommended.,Hire,"Candidate Clinton Rice (EID0147) applied for the role of Data Engineer with B.Tech background. They are a Experienced. Performance in the interview was rated 4.33/5. Skills mentioned: Python, Excel, R, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0148,EID0148,Anna Bond,BI Developer,B.Sc in CS,0 years,2025-01-16,"Interviewer: Tell me about yourself.
Candidate: I think Hi, I'm Anna Bond. I studied B.Sc in CS and did internships where I worked on real-world data projects and dashboards.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is a JOIN operation in SQL?
Candidate: uhh... JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is your experience with Power BI?
Candidate: I think I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.
","SQL, Excel, NumPy, R, Power BI, Pandas, Tableau",4.67,Excellent candidate. Recommended.,Hire,"Candidate Anna Bond (EID0148) applied for the role of BI Developer with B.Sc in CS background. They are a Fresher. Performance in the interview was rated 4.67/5. Skills mentioned: SQL, Excel, NumPy, R, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0149,EID0149,Lindsey Thomas,Data Science Intern,MBA with Analytics,5 years,2025-06-12,"Interviewer: Tell me about yourself.
Candidate: My name is Lindsey Thomas and I hold a degree in MBA with Analytics. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: Why do you want this job?
Candidate: umm... I’m passionate about data and love solving real-world problems through analysis.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is SQL?
Candidate: uhh... It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: What is a JOIN operation in SQL?
Candidate: umm... It’s used to merge data — for instance, customer details with their orders.
","Python, Excel, NumPy, R, Statistics, Pandas",4.67,Excellent candidate. Recommended.,Hire,"Candidate Lindsey Thomas (EID0149) applied for the role of Data Science Intern with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.67/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Pandas. All mentioned skills supported."
TID0150,EID0150,Mary Garcia,Data Analyst,M.Sc in Data Science,4 years,2025-07-11,"Interviewer: Tell me about yourself.
Candidate: umm... Hello, I'm Mary Garcia, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Why do you want this job?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: Describe a difficult situation you handled.
Candidate: I haven’t used that in any of my projects yet.

Interviewer: What is SQL?
Candidate: SQL helps you interact with databases — for example, to retrieve customer records or sales data.
","Excel, NumPy, R, Pandas, Power BI, Tableau",3.5,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Mary Garcia (EID0150) applied for the role of Data Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 3.5/5. Skills mentioned: Excel, NumPy, R, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0151,EID0151,Lori Carey,Data Analyst,MBA with Analytics,0 years,2025-04-19,"Interviewer: Tell me about yourself.
Candidate: like Hello, I'm Lori Carey, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: What is a JOIN operation in SQL?
Candidate: sort of JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: What is your experience with Power BI?
Candidate: umm... I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: What is SQL?
Candidate: kinda It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Why do you want this job?
Candidate: I haven’t used that in any of my projects yet.
","Python, Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau",4.0,Excellent candidate. Recommended.,Hire,"Candidate Lori Carey (EID0151) applied for the role of Data Analyst with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 4.0/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0152,EID0152,Edward Mullins,Senior Data Analyst,MBA with Analytics,2 years,2025-03-29,"Interviewer: Tell me about yourself.
Candidate: uhh... Hi, I'm Edward Mullins. I studied MBA with Analytics and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: Why do you want this job?
Candidate: I'm not sure about that.

Interviewer: What is SQL?
Candidate: I'm not sure about that.

Interviewer: What is a JOIN operation in SQL?
Candidate: I think It’s used to merge data — for instance, customer details with their orders.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.
","Python, SQL, Excel, NumPy, R, Pandas, Power BI",4.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Edward Mullins (EID0152) applied for the role of Senior Data Analyst with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Pandas, Power BI. SQL listed but not confidently answered"
TID0153,EID0153,Diane Ryan,Data Analyst,MBA with Analytics,1 years,2025-05-05,"Interviewer: Tell me about yourself.
Candidate: I'm not sure about that.

Interviewer: Describe a difficult situation you handled.
Candidate: uhh... During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is a JOIN operation in SQL?
Candidate: It’s used to merge data — for instance, customer details with their orders.

Interviewer: What is SQL?
Candidate: SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: How do you clean data?
Candidate: I think I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: Why do you want this job?
Candidate: like I want to grow in the data field and believe your company offers great learning opportunities.
","Python, SQL, NumPy, R, Statistics, Power BI, Pandas",4.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Diane Ryan (EID0153) applied for the role of Data Analyst with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, NumPy, R, Statistics, Power BI, Pandas. Python listed but not confidently answered"
TID0154,EID0154,Miss Tricia Gonzalez MD,Data Engineer,B.Sc in CS,2 years,2025-01-26,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Miss Tricia Gonzalez MD, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: How do you clean data?
Candidate: I think I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is SQL?
Candidate: I don't remember exactly.

Interviewer: Describe a difficult situation you handled.
Candidate: I think Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.
","Python, SQL, Excel, NumPy, Statistics, Power BI, Tableau",4.5,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Miss Tricia Gonzalez MD (EID0154) applied for the role of Data Engineer with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, SQL, Excel, NumPy, Statistics, Power BI, Tableau. SQL listed but not confidently answered"
TID0155,EID0155,Katherine Watson,Data Science Intern,M.Sc in Data Science,0 years,2025-04-07,"Interviewer: Tell me about yourself.
Candidate: umm... My name is Katherine Watson and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is a JOIN operation in SQL?
Candidate: It’s used to merge data — for instance, customer details with their orders.

Interviewer: What is SQL?
Candidate: I guess It’s a language used for querying, updating, and managing data stored in databases.
","Python, Excel, SQL, NumPy, R, Statistics, Pandas, Tableau",4.67,Excellent candidate. Recommended.,Hire,"Candidate Katherine Watson (EID0155) applied for the role of Data Science Intern with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 4.67/5. Skills mentioned: Python, Excel, SQL, NumPy, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0156,EID0156,Sue Davila,Insights Analyst,M.Sc in Data Science,0 years,2025-05-16,"Interviewer: Tell me about yourself.
Candidate: kinda Hello, I'm Sue Davila, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: What is a JOIN operation in SQL?
Candidate: I'm not sure about that.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is SQL?
Candidate: umm... It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Why do you want this job?
Candidate: umm... I want to grow in the data field and believe your company offers great learning opportunities.
","Python, SQL, Excel, R, Statistics, Power BI, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Sue Davila (EID0156) applied for the role of Insights Analyst with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 4.17/5. Skills mentioned: Python, SQL, Excel, R, Statistics, Power BI, Tableau. All mentioned skills supported."
TID0157,EID0157,Kenneth Hester,BI Developer,B.Sc in CS,3 years,2025-04-24,"Interviewer: Tell me about yourself.
Candidate: uhh... Hello, I'm Kenneth Hester, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.
","Python, SQL, Excel, NumPy, R, Power BI",4.33,Excellent candidate. Recommended.,Hire,"Candidate Kenneth Hester (EID0157) applied for the role of BI Developer with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.33/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Power BI. All mentioned skills supported."
TID0158,EID0158,Ariana Zuniga,Senior Data Analyst,B.Sc in CS,3 years,2025-04-28,"Interviewer: Tell me about yourself.
Candidate: I think Hello, I'm Ariana Zuniga, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.

Interviewer: How do you clean data?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: Describe a difficult situation you handled.
Candidate: kinda I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: Why do you want this job?
Candidate: I guess I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: What is a JOIN operation in SQL?
Candidate: sort of JOIN helps bring together different tables so you can analyze related data easily.
","Python, Excel, SQL, NumPy, Statistics, Power BI, Tableau",3.83,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Ariana Zuniga (EID0158) applied for the role of Senior Data Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 3.83/5. Skills mentioned: Python, Excel, SQL, NumPy, Statistics, Power BI, Tableau. All mentioned skills supported."
TID0159,EID0159,Sheryl Flynn,Junior Data Scientist,MBA with Analytics,3 years,2025-04-22,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Sheryl Flynn, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is your experience with Power BI?
Candidate: kinda I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.

Interviewer: How do you clean data?
Candidate: like I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.
","Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau",4.5,Excellent candidate. Recommended.,Hire,"Candidate Sheryl Flynn (EID0159) applied for the role of Junior Data Scientist with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Excel, NumPy, R, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0160,EID0160,Todd Welch,BI Developer,M.Sc in Data Science,3 years,2025-04-06,"Interviewer: Tell me about yourself.
Candidate: kinda Hi, I'm Todd Welch. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: Why do you want this job?
Candidate: you know This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: How do you clean data?
Candidate: I haven’t used that in any of my projects yet.
","Python, SQL, Excel, NumPy, R, Statistics, Pandas, Power BI",4.0,Excellent candidate. Recommended.,Hire,"Candidate Todd Welch (EID0160) applied for the role of BI Developer with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics, Pandas, Power BI. All mentioned skills supported."
TID0161,EID0161,Stephanie Wong,BI Developer,M.Sc in Data Science,5 years,2025-03-08,"Interviewer: Tell me about yourself.
Candidate: sort of My name is Stephanie Wong and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: What is SQL?
Candidate: kinda It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Why do you want this job?
Candidate: I don't remember exactly.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.
","Python, SQL, Excel, NumPy, R, Power BI, Pandas, Tableau",3.83,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Stephanie Wong (EID0161) applied for the role of BI Developer with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 3.83/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0162,EID0162,John Young,Reporting Analyst,MBA with Analytics,4 years,2025-06-06,"Interviewer: Tell me about yourself.
Candidate: My name is John Young and I hold a degree in MBA with Analytics. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: How do you clean data?
Candidate: I'm not sure about that.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.
","Python, SQL, Excel, NumPy, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate John Young (EID0162) applied for the role of Reporting Analyst with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: Python, SQL, Excel, NumPy, Tableau. All mentioned skills supported."
TID0163,EID0163,Amy Black,Data Science Intern,B.Tech,3 years,2025-06-15,"Interviewer: Tell me about yourself.
Candidate: Hi, I'm Amy Black. I studied B.Tech and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: Describe a difficult situation you handled.
Candidate: sort of I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.
","Python, SQL, R, Statistics, Pandas, Power BI, Tableau",4.5,Excellent candidate. Recommended.,Hire,"Candidate Amy Black (EID0163) applied for the role of Data Science Intern with B.Tech background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, SQL, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0164,EID0164,Timothy Taylor,ML Associate,MBA with Analytics,0 years,2025-06-21,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Timothy Taylor, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is your experience with Power BI?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: What is SQL?
Candidate: It’s a language used for querying, updating, and managing data stored in databases.

Interviewer: What is a JOIN operation in SQL?
Candidate: umm... JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: How do you clean data?
Candidate: I haven’t used that in any of my projects yet.
","Python, SQL, NumPy, R, Statistics, Power BI, Pandas, Tableau",4.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Timothy Taylor (EID0164) applied for the role of ML Associate with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, NumPy, R, Statistics, Power BI, Pandas, Tableau. Power BI listed but not confidently answered"
